Species,Bird_Population_Parameter,Life_Cycle_Phase,Region,PD_Species,Methodology,Variable,Effect Direction,Descriptive only?,Abundance_Change,Abundance_Num,H1 Conclusion,Reference,Ref_Num,,,,,,,,,,,,,,,,,,,,,,,,,,
Lark Sparrow,Occurrence,Year-round/Adult,CHH (MX),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Manzano-Fischer et al (1999),56,,,,,,,,,,,,,,,,,,,,,,,,,,
Lark Sparrow,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Lark Sparrow,Occurrence,Breeding Season/Adult,CO (USA),BTPD,Relative abundance ,birds/km^2,Positive,No,Increase,1,Supports,Tipon,272,,,,,,,,,,,,,,,,,,,,,,,,,,
Lark Sparrow,Occurrence,Breeding Season/Adult,OK (USA),BTPD,Relative density,birds/km,Neutral,No,Neutral,0,NA,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Lark Sparrow,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Positive,No,Increase,1,Supports,Geaumont et al 2039,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesser Goldfinch,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Not tested,No,NA,0,NA,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesser Goldfinch,Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesser Prairie Chicken,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Loggerhead Shrike,Occurrence,Breeding Season/Adult,WY (USA),BTPD,Relative density,birds/km^2,Negative,No,Decrease,-1,NA,Duchardt et al (2018),50,,,,,,,,,,,,,,,,,,,,,,,,,,
Loggerhead Shrike,Occurrence,Breeding Season/Adult,WY (USA),WTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Loggerhead Shrike,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Loggerhead Shrike,Occurrence,Breeding & Postbreeding Migration/Adult,OK (USA),BTPD,Relative density,birds/km,Positive,No,Increase,1,Supports,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Loggerhead Shrike,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Loggerhead Shrike,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Not tested,No,NA,0,NA,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-billed Curlew,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Negative,No,Decrease,-1,NA,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-billed Curlew,Occurrence,Breeding Season/Adult,"MT, WY, SD (USA)",BTPD,Relative density,birds/km^2,Positive,No,Increase,1,Supports,"Augustine, DJ; Baker, BW",44,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-billed Curlew,Occurrence,Year-round/Adult,CHH (MX),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Manzano-Fischer et al (1999),56,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-billed Curlew,Occurrence,Breeding Season/Adult,OK (USA),BTPD,Relative density,birds/km,Positive,No,Increase,1,Supports,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-billed Curlew,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-billed Curlew,Occurrence,Non-breeding Season/Adult,CHH (MX),BTPD,Relative abundance,not specified,Not tested,No,NA,0,NA,"Desmond, M",47,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-billed Curlew,Occurrence,Breeding Season/Adult,"KS, CO (USA)",BTPD,Relative abundance ,birds/km,Neutral,No,Neutral,0,Does not support,Winter et al (2003),61,,,,,,,,,,,,,,,,,,,,,,,,,,
Mallard,Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi Kite,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Occurrence,Breeding Season/Adult,OK (USA),BTPD,Relative density,birds/km^2,Negative,No,Decrease,-1,Does not support,McConnell et al (2008),35,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Occurrence,Year-round/Adult,Regionwide (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Koford,11,,,,,,,,,,,,,,,,,,,,,,,,,Biomass,%
Mountain Plover,Occurrence,Breeding Season/Adult,CO (USA),BTPD,Relative density,birds/100 ha,Positive,No,Increase,1,Supports,Tipton et al,18,,,,,,,,,,,,,,,,,,,,,,,,,Nest site selection,NA
Mountain Plover,Occurrence,Breeding Season/Adult,CO (USA),BTPD,Occupancy,NA,Positive,No,Increase,1,Supports,Tipton et al,19,,,,,,,,,,,,,,,,,,,,,,,,,Frequency,%
Mountain Plover,Occurrence,Breeding Season/Adult,CO (USA),BTPD,Relative density,birds/km^2,Positive,No,Increase,1,Supports,Augustine,20,,,,,,,,,,,,,,,,,,,,,,,,,Nest success,Binary
Mountain Plover,Nesting,Breeding Season/Adult,CO (USA),BTPD,Nest site selection,Percent composition,Positive,No,Increase,1,Supports,Augustine and Derner 2012,21,,,,,,,,,,,,,,,,,,,,,,,,,Abundance_Variable,Abundance_Units
Mountain Plover,Nesting,Breeding Season/Adult,"CO, MT (USA)",BTPD,Nest site selection,nests/colony,Positive,No,Increase,1,Supports,Augustine et al,22,,,,,,,,,,,,,,,,,,,,,,,,,Nest success,Binary
Mountain Plover,Nesting,Breeding Season/Adult,CO (USA),BTPD,Nest survival,p(surv)/day,Positive,No,Increase,1,Supports,Augustine and Skagen,23,,,,,,,,,,,,,,,,,,,,,,,,,Presence/absence,Binary
Mountain Plover,Nesting,Breeding Season/Adult,CO (USA),BTPD,Relative density,birds/km^2,Positive,No,Increase,1,Supports,Augustine and Skagen,23,,,,,,,,,,,,,,,,,,,,,,,,,Presence/absence,Binary
Mountain Plover,Occurrence,Breeding Season/Adult,MT (USA),BTPD,Relative density,birds/km^2,Positive,No,Increase,1,Supports,Childers and Dinsmore,24,,,,,,,,,,,,,,,,,,,,,,,,,Nest success,Binary
Mountain Plover,Survival,Breeding Season/Adult,MT (USA),BTPD,Population change,Lambda,Positive,No,Increase,1,Supports,Dinsmore et al,25,,,,,,,,,,,,,,,,,,,,,,,,,Nest success,Binary
Mountain Plover,Nesting,Breeding Season/Adult,MT (USA),BTPD,Nest survival,p(surv)/day,Positive,No,Increase,1,Supports,Dinsmore,26,,,,,,,,,,,,,,,,,,,,,,,,,Presence/absence,banded owls/site
Mountain Plover,Occurrence,Breeding Season/Adult,MT (USA),BTPD,Presence/absence,p(detection),Positive,No,Increase,1,Supports,Dinsmore and Smith,27,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Survival,Breeding Season/Adult,MT (USA),BTPD,Apparent survival,p(surv),Positive,Yes,Increase,1,Supports,Dinsmore et al,28,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Movement,Breeding Season/Adult,CO (USA),BTPD,Brood movement,p(movement),Positive,No,Increase,1,Supports,Drietz,30,,,,,,,,,,,,,,,,,,,,,,,,,Productivity,fledglings/colony
Mountain Plover,Nesting,Breeding Season/Juvenile,CO (USA),BTPD,Chick survival,p(surv)/30 days,Positive,No,Increase,1,Supports,Drietz,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Occurrence,Breeding Season/Adult,CO (USA),BTPD,Presence/absence,birds/patch,Positive,No,Increase,1,Supports,Dreitz et al,31,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Nesting,Breeding Season/Adult,WY (USA),BTPD,Nest site selection,Veg @ paired points,Positive,No,Increase,1,Supports,Duchardt et al (2020),32,,,,,,,,,,,,,,,,,,,,,,,,,Productivity,fledglings/nest
Mountain Plover,Nesting,Breeding Season/Adult,WY (USA),BTPD,Nest survival,p(surv)/day,Positive,No,Increase,1,Supports,Duchardt et al (2020),32,,,,,,,,,,,,,,,,,,,,,,,,,Presence/absence,Binary
Mountain Plover,Occurrence,Breeding Season/Adult,WY (USA),BTPD,Relative density,birds/km^2,Positive,No,Increase,1,Supports,Duchardt et al (2020),32,,,,,,,,,,,,,,,,,,,,,,,,,Nest distance,m
Mountain Plover,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Presence/absence,Binary,Positive,No,Increase,1,Supports,Goguen (2012),33,,,,,,,,,,,,,,,,,,,,,,,,,Frequency,%
Mountain Plover,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Nest site selection,Veg @ paired points,Positive,No,Increase,1,Supports,Goguen (2012),33,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Mountain Plover,Nesting,Breeding Season/Adult,UT (USA),WTPD,Nest site selection,NA,Positive,Yes,Increase,1,Supports,Manning and White (2001),34,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Mountain Plover,Occurrence,Breeding Season/Adult,MT (USA),BTPD,Presence/absence,Binary,Positive,Yes,Increase,1,Supports,Knowles and Knowles,41,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Occurrence,Breeding Season/Adult,MT (USA),BTPD,Relative abundance,birds/count,Positive,No,Increase,1,Supports,Knowles et al,42,,,,,,,,,,,,,,,,,,,,,,,,,Nest density,nests/ha
Mountain Plover,Occurrence,Breeding Season/Adult,"MT, WY, SD (USA)",BTPD,Relative density,birds/km^2,Positive,No,Increase,1,Supports,"Augustine, DJ; Baker, BW",44,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Occurrence,Breeding Season/Adult,WY (USA),WTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Occurrence,Breeding Season/Adult,WY (USA),BTPD,Relative abundance ,birds/km^2,Positive,No,Increase,1,Supports,Duchardt et al (2019),49,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Mountain Plover,Occurrence,Breeding Season/Adult,WY (USA),BTPD,Relative density,birds/km^2,Positive,No,Increase,1,Supports,Duchardt et al (2018),50,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Occurrence,Breeding Season/Adult,WY (USA),BTPD,Relative abundance,birds/12.6 ha,Positive,No,Increase,1,Supports,Duchard et al (2021),51,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Positive,No,Increase,1,Supports,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Occurrence,Year-round/Adult,CHH (MX),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Manzano-Fischer et al (1999),56,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Occurrence,Breeding Season/Adult,CO (USA),BTPD,Relative abundance ,birds/km^2,Positive,No,Increase,1,Supports,Tipon,272,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Nesting,Breeding Season/Adult,UT (USA),WTPD,Nest site selection,NA,Positive,No,Increase,1,Supports,Manning and White (2001b),278,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Movement,Breeding Season/Juvenile,CO (USA),BTPD,Brood home-range size,NA,Positive,No,Increase,1,Supports,Dreitz et al,279,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Nesting,Breeding Season/Adult,MT (USA),BTPD,Nest site selection,NA,Positive,Yes,Increase,1,Supports,"Olson, S. L., & Edge, D.",280,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Nesting,Breeding Season/Adult,OK (USA),BTPD,Breeding record,NA,Positive,Yes,Increase,1,Supports,Flowers,281,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Nesting,Breeding Season/Adult,NLE (MX),MEPD,Breeding record,NA,Positive,Yes,Increase,1,Supports,Rojas et al,282,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Occurrence,Breeding Season/Adult,MT (USA),BTPD,Habitat use,birds/ha,Positive,No,Increase,1,Supports,Olson-Edge et al,284,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Diet,Breeding Season/Adult,MT (USA),BTPD,Prey item abundance (beetles and ants),insects/trap,Positive,No,Increase,1,Supports,Olson,285,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Occurrence,Breeding Season/Adult,"KS, CO (USA)",BTPD,Relative abundance ,birds/km,Not tested,No,NA,0,NA,Winter et al (2003),61,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Diet,Breeding Season/Adult,CO (USA),BTPD,Prey density,100 items/ha,Neutral,No,Neutral,0,Equivocal,Drietz,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Diet,Breeding Season/Adult,CO (USA),BTPD,Biomass,grams,Neutral,No,Neutral,0,Equivocal,Drietz,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Nesting,Breeding Season/Adult,WY (USA),"BTPD, WTPD",Nest site selection,NA,Neutral,Yes,Neutral,0,Does not support,Plumb et al (2005),36,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Movement,"Breeding, Postbreeding Migration/Adult",MT (USA),BTPD,Dispersal distance,km,Neutral,No,Neutral,0,Equivocal,"Skrade, PDB; Dinsmore, SJ",37,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Movement,Breeding Season/Juvenile,CO (USA),BTPD,Brood movement distance,NA,Neutral,No,Neutral,0,Equivocal,Dreitz et al,279,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Nesting,Breeding Season/Adult,WY (USA),BTPD,Nest site selection,NA,Neutral,Yes,Neutral,0,Equivocal,Parrish et al,283,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Nesting,Breeding Season/Juvenile,WY (USA),BTPD,Brood site selection,NA,Neutral,Yes,Neutral,0,Equivocal,Parrish et al,283,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Plover,Diet,Breeding Season/Adult,MT (USA),BTPD,Insect diversity,families/trap,Neutral,No,Neutral,0,Equivocal,Olson,285,,,,,,,,,,,,,,,,,,,,,,,,,,
Mourning Dove,Occurrence,Breeding Season/Adult,WY (USA),BTPD,Relative density,birds/km^2,Negative,No,Decrease,-1,NA,Duchardt et al (2018),50,,,,,,,,,,,,,,,,,,,,,,,,,,
Mourning Dove,Occurrence,Year-round/Adult,Regionwide (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Koford,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Mourning Dove,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Species richness,species,Positive,No,Increase,1,Supports,Agnew et al (1986),43,,,,,,,,,,,,,,,,,,,,,,,,,,
Mourning Dove,Occurrence,Breeding Season/Adult,"MT, WY, SD (USA)",BTPD,Relative density,birds/km^2,Positive,No,Increase,1,Supports,"Augustine, DJ; Baker, BW",44,,,,,,,,,,,,,,,,,,,,,,,,,,
Mourning Dove,Occurrence,Breeding Season/Adult,WY (USA),WTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Mourning Dove,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Mourning Dove,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Positive,No,Increase,1,Supports,Geaumont et al 2040,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Mourning Dove,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Mourning Dove,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Neutral,No,Neutral,0,NA,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
Mourning Dove,Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
Mourning Dove,Occurrence,Breeding Season/Adult,OK (USA),BTPD,Relative density,birds/km,Neutral,No,Neutral,0,NA,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Mourning Dove,Occurrence,Breeding Season/Adult,"KS, CO (USA)",BTPD,Relative abundance ,birds/km,Neutral,No,Neutral,0,NA,Winter et al (2003),61,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Bobwhite,Occurrence,Breeding Season/Adult,OK (USA),BTPD,Relative density,birds/km,Negative,No,Decrease,-1,NA,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Bobwhite,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Flicker,Occurrence,Breeding Season/Adult,OK (USA),BTPD,Relative density,birds/km,Positive,No,Increase,1,Supports,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Flicker,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Not tested,No,NA,0,NA,Geaumont et al 2040,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Flicker,Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Flicker,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Flicker,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Harrier,Occurrence,Year-round/Adult,Regionwide (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Koford,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Harrier,Occurrence,Breeding Season/Adult,"MT, WY, SD (USA)",BTPD,Relative density,birds/km^2,Positive,No,Increase,1,Supports,"Augustine, DJ; Baker, BW",44,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Harrier,Occurrence,Breeding Season/Adult,WY (USA),WTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Harrier,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Harrier,Occurrence,Year-round/Adult,CHH (MX),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Manzano-Fischer et al (1999),56,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Harrier,Occurrence,Postbreeding Migration/Adult,OK (USA),BTPD,Relative density,birds/km,Positive,No,Increase,1,Supports,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Harrier,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mockingbird,Occurrence,Breeding Season/Adult,OK (USA),BTPD,Relative density,birds/km,Negative,No,Decrease,-1,NA,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mockingbird,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mockingbird,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Neutral,No,Neutral,0,NA,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Rough-winged Swallow,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Neutral,No,Neutral,0,NA,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairie Falcon,Occurrence,Year-round/Adult,Regionwide (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Koford,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairie Falcon,Occurrence,Breeding Season/Adult,WY (USA),WTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairie Falcon,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairie Falcon,Occurrence,Year-round/Adult,CHH (MX),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Manzano-Fischer et al (1999),56,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairie Falcon,Occurrence,Postbreeding Migration/Adult,OK (USA),BTPD,Relative density,birds/km,Positive,No,Increase,1,Supports,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairie Falcon,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairie Falcon,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Not tested,No,NA,0,NA,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-headed Woodpecker,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Not tested,No,NA,0,NA,Geaumont et al 2041,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-tailed Hawk,Occurrence,Year-round/Adult,Regionwide (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Koford,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-tailed Hawk,Occurrence,Breeding Season/Adult,WY (USA),WTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-tailed Hawk,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-tailed Hawk,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-tailed Hawk,Occurrence,Breeding Season/Adult,OK (USA),BTPD,Relative density,birds/km,Positive,No,Increase,1,Supports,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-tailed Hawk,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Not tested,No,NA,0,NA,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-tailed Hawk,Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-winged Blackbird,Occurrence,Breeding Season/Adult,OK (USA),BTPD,Relative density,birds/km,Negative,No,Decrease,-1,NA,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-winged Blackbird,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Positive,No,Increase,1,Supports,Geaumont et al 2042,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-winged Blackbird,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-winged Blackbird,Occurrence,Breeding Season/Adult,"KS, CO (USA)",BTPD,Relative abundance ,birds/km,Not tested,No,NA,0,NA,Winter et al (2003),61,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-winged Blackbird,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Species richness,species,Neutral,No,Neutral,0,NA,Agnew et al (1986),43,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-winged Blackbird,Occurrence,Breeding Season/Adult,"MT, WY, SD (USA)",BTPD,Relative density,birds/km^2,Neutral,No,Neutral,0,NA,"Augustine, DJ; Baker, BW",44,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-winged Blackbird,Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
Ring-necked Pheasant,Occurrence,Breeding Season/Adult,OK (USA),BTPD,Relative density,birds/km,Negative,No,Decrease,-1,NA,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Ring-necked Pheasant,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Neutral,No,Neutral,0,NA,Geaumont et al 2043,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock Pigeon (Feral Pigeon),Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock Pigeon (Feral Pigeon),Occurrence,Breeding Season/Adult,SD (USA),BTPD,Species richness,species,Neutral,No,Neutral,0,NA,Agnew et al (1986),43,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock Pigeon (Feral Pigeon),Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
Rough-legged Hawk,Occurrence,Postbreeding Migration/Adult,OK (USA),BTPD,Relative density,birds/km,Negative,No,Decrease,-1,NA,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Rough-legged Hawk,Occurrence,Year-round/Adult,Regionwide (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Koford,11,,,,,,,,,,,,,,,,,,,,,,,,,,
