Ref_Num,Paper_Authors,Variable_Number,PD_Species,Bird_Species,Bird_Category,Country,State_Province,Loc_Name,Tribal_Land,Habitat_Type,Habitat_Type_1,Habitat_Type_2,Habitat_Type_3,Habitat_Type_4,Lat,Long,Ref_Num_BCR,BCR,BCRNAME,Start_Year,End_Year,Study_Duration,Season,Months,Sampling_Period,Sampling_Period_1,Sampling_Period_2,Sampling_Period_3,Sampling_Period_4,Patch_Size_ha,Grazing_Regime,Fire_Regime,Mean_PD_Size,Total_PD_Size,Min_PD_Size,Max_PD_Size,Effect_Type,Survey_Type,Sampling_Scheme,Abundance_Variable,Abundance_Units,Abundance_Test,Alpha_Variable,Alpha_Units,Alpha_Test,Beta_Variable,Beta_Units,Beta_Test,Demo_Variable_1,Demo_Units_1,Demo_Test_1,Demo_Variable_2,Demo_Units_2,Demo_Test_2,Diet_Variable_1,Diet_Units_1,Diet_Test_1,Diet_Variable_2,Diet_Units_2,Diet_Test_2,Summary_Data,Sample_Size_Count,Sample_Size_Units,Variance,Effect_Size,Data_Text,Data_Figures,Data_Availability,Conclusions,Evidence_Strength,Hypothesis_1,Hypothesis_2,Hypothesis_3,Descriptive_only
44,"Augustine, DJ; Baker, BW",1,BTPD,"NOHA, KILL, MOPL, UPSA, LBCU, MODO, BUOW, EAKI, AMCR, HOLA, CLSW, BARS, SPPI, CCLO, TBLO, CHSP, BRSP, VESP, LASP, LARB, GRSP, BAIS, RWBL, WEME, BRBL, COGR, BHCO",General,USA,"MT, WY, SD","Phillips County, FBIC, Pine Ridge, Buffalo Gap, Cheyenne River, Thunder Basin NG, Wind Cave NP",Yes,"Mixed-grass Prairie, Shortgrass Prairie, Sagebrush Steppe",Mixed-grass Prairie,Shortgrass Prairie,Sagebrush Steppe,NA,45.08,-104.519,44,17,BADLANDS AND PRAIRIES,1996,1996,1,Spring/Summer,May-July,Breeding Season,Breeding Season,NA,NA,NA,Multiple sites,Bison & cattle,Not specified (presumably suppressed),Not specified,Not specified,20,Not specified,Occurrence,Transect,Paired colonies and uncolonized grassland across a broad swath of the NGP,Relative density,birds/km^2,DISTANCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,7,transects,Not calculating,Not calculating,Yes,No,Not mentioned,Main takeaways: 1) Prairie dog complexes host distinct breeding bird communities relative to surrounding areas that lack prairie dogs. 2) Six species were more abundant on western sites whereas four species were more abundant on eastern ones. 3) Grassland specialists like LBCU and UPSA that occur equally across sites may benefit from both via different daily & seasonal uses,Strong,Supports,NA,NA,No
44,"Augustine, DJ; Baker, BW",2,BTPD,"NOHA, KILL, MOPL, UPSA, LBCU, MODO, BUOW, EAKI, AMCR, HOLA, CLSW, BARS, SPPI, CCLO, TBLO, CHSP, BRSP, VESP, LASP, LARB, GRSP, BAIS, RWBL, WEME, BRBL, COGR, BHCO",General,USA,"MT, WY, SD","Phillips County, FBIC, Pine Ridge, Buffalo Gap NG, Cheyenne River, Thunder Basin NG, Wind Cave NP",Yes,"Mixed-grass Prairie, Shortgrass Prairie, Sagebrush Steppe",Mixed-grass Prairie,Shortgrass Prairie,Sagebrush Steppe,NA,45.08,-104.519,44,17,BADLANDS AND PRAIRIES,1996,1996,1,Spring/Summer,May-July,Breeding Season,Breeding Season,NA,NA,NA,Multiple sites,Bison & cattle,Not specified (presumably suppressed),Not specified,Not specified,20,Not specified,Occurrence,Transect,Paired colonies and uncolonized grassland across a broad swath of the NGP,NA,NA,NA,NA,NA,NA,Relative density,birds/km^2,NMDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,7,transects,Not calculating,Not calculating,Yes,No,Not mentioned,Main takeaways: 1) Prairie dog complexes host distinct breeding bird communities relative to surrounding areas that lack prairie dogs. 2) Six species were more abundant on western sites whereas four species were more abundant on eastern ones. 3) Grassland specialists like LBCU and UPSA that occur equally across sites may benefit from both via different daily & seasonal uses,Strong,NA,Supports,NA,No
45,"Barko, VA; Shaw, JH; Leslie, DM",2,BTPD,"KILL, MOPL, LBUC, UPSA, TUVU, GOEA, FEHA, SWHA, MIKI, NOHA, AMKE, MERL, SCQU, ROPI, MODO, BUOW, CONI, CAKI, EAKI, WEKI, BARS, CLSW, HOLA, LOSH, AMCR, CHRA, NOMO, CBTH, CASP, GRSP, LASP, SAVS, VESP, LARB, RWBL, COGR, WEME, BHCO",General,USA,OK,OK Panhandle,No,Shortgrass Prairie,Shortgrass Prairie,NA,NA,NA,36.809357,-102.683535,45,18,SHORTGRASS PRAIRIE,1995,1996,2,Spring/Summer,April-July,Breeding Season,Breeding Season,NA,NA,NA,Not specified,Cattle,Not specified (presumably suppressed),Not specified,Not specified,3,302,Occurrence,Transect,Paired colonies and uncolonized grassland across a broad swath of the NGP,NA,NA,NA,Species richness,species/site,Spearmann rank correlaton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not clear,38,species,Not calculating,Not calculating,Yes,No,Not mentioned,"Main takeaways: 1) Abundance was significantly higher across all sites, but much of this may be explained by Horned Larks (abundance data was not reported in detail). 2) Richness difference was only weakly positive, but this was likely obscured by colonies too small to show effects/benefits to local diversity. 3) Abundance differences were negated by drought, most likely by negating patch effects through vegetative dormancy --> homogeneous habitat",Moderate,NA,Supports,NA,No
45,"Barko, VA; Shaw, JH; Leslie, DM",1,BTPD,"KILL, MOPL, LBUC, UPSA, TUVU, GOEA, FEHA, SWHA, MIKI, NOHA, AMKE, MERL, SCQU, ROPI, MODO, BUOW, CONI, CAKI, EAKI, WEKI, BARS, CLSW, HOLA, LOSH, AMCR, CHRA, NOMO, CBTH, CASP, GRSP, LASP, SAVS, VESP, LARB, RWBL, COGR, WEME, BHCO",General,USA,OK,OK Panhandle,No,Shortgrass Prairie,Shortgrass Prairie,NA,NA,NA,36.809357,-102.683535,45,18,SHORTGRASS PRAIRIE,1995,1996,2,Spring/Summer,April-July,Breeding Season,Breeding Season,NA,NA,NA,Not specified,Cattle,Not specified (presumably suppressed),Not specified,Not specified,3,302,Occurrence,Transect,Paired colonies and uncolonized grassland across a broad swath of the NGP,Relative abundance,total birds,Chi-Square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not clear,"2,139",birds,Not calculating,Not calculating,Yes,No,Not mentioned,"Main takeaways: 1) Abundance was significantly higher across all sites, but much of this may be explained by Horned Larks (abundance data was not reported in detail). 2) Richness difference was only weakly positive, but this was likely obscured by colonies too small to show effects/benefits to local diversity. 3) Abundance differences were negated by drought, most likely by negating patch effects through vegetative dormancy --> homogeneous habitat",Moderate,Supports,NA,NA,No
46,Campbell and Clark,1,BTPD,"GOEA, FEHA, RTHA, SWHA, NOHA, PRFA, AMKE, BUOW, GHOW, GRSG, MODO, GWTE, KILL, CONI, MOPL, HOLA, WEME, CCLO, TBLO, VESP, LARB, WEKI, BBMA, LOSH, BHCO, SAVS, BARS, CLSW, SNBU",General,USA,WY,Pumpkin Butte,No,Shortgrass Prairie,Shortgrass Prairie,NA,NA,NA,43.707064,-105.826173,46,17,BADLANDS AND PRAIRIES,1979,1979,1,Summer,Not specified,Breeding Season,Breeding Season,NA,NA,NA,"103,600",Cattle,Not specified (presumably suppressed),35,731,1,189,Occurrence,General survey,General survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not calculating,Not calculating,Yes,No,Not mentioned,The authors documented shortgrass specialists and raptors inhabiting prairie dog towns,Weak,Supports,NA,Supports,Yes
46,Campbell and Clark,2,WTPD,"GOEA, FEHA, RTHA, NOHA, PRFA, AMKE, BUOW, GRSG, MODO, KILL, AMAV, CONI, MOPL, WEME, TBLO, VESP, AMPI, SATH, LARB, EAKI, BBMA, LOSH, BHCO, SAVS, BARS, CLSW, SNBU",General,USA,WY,Medicine Bow,No,Sagebrush Steppe,Sagebrush Steppe,NA,NA,NA,41.92658,-105.882777,46,10,NORTHERN ROCKIES,1979,1979,1,Summer,Not specified,Breeding Season,Breeding Season,NA,NA,NA,"33,600",Cattle,Not specified (presumably suppressed),43,1085,2,184,Occurrence,General survey,General survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not calculating,Not calculating,Yes,No,Not mentioned,The authors documented shortgrass specialists and raptors inhabiting prairie dog towns,Weak,Supports,NA,Supports,Yes
47,"Desmond, M",1,BTPD,"BAIS, BRSP, BUOW, CASP, CCLO, FEHA, GRSP, HOLA, LARB, LBCU, SAVS, VESP",General,MX,CHH,Janos Complex,No,Desert grassland,Desert grassland,NA,NA,NA,30.793397,-108.523049,47,34,SIERRA MADRE OCCIDENTAL,1999,1999,1,Winter,Jan-Apr,Nonbreeding Season,Nonbreeding Season,NA,NA,NA,"250,000",Cattle,Not specified (presumably suppressed),Not specified,"15,000",Not specified,Not specified,Occurrence,Transect,30 plots divided by land use/PD occupancy,NA,NA,NA,Shannon Diversity Index,NA,Stepwise multiple regression,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,30,species,Not calculating,Not calculating,Yes,No,Not mentioned,"Main takeaways: 1) Private ranches with and without prairie dogs supported similar levels of diversity (but different compositions), while private ranches with prairie dogs supported more abundance; both had significantly higher abundance and diversity than ejidos. 2) Effects as follows: Avian diversity responded to +BTKR/grzng & + shrubs. Avian abundance responded to +BTPD & - shrubs. HOLA responded -BTKR/grzng & -grass height. CCLO responded -cattle & - shrubs. 3) CCLO use grazed/PD colony areas in winter, but are sensitive to grazing intensity. 4) Shrub encroachment increases local diversity, but decreases abundance of grassland specialists",Moderate,Supports,Supports,NA,No
47,"Desmond, M",2,BTPD,"BAIS, BRSP, BUOW, CASP, CCLO, FEHA, GRSP, HOLA, LARB, LBCU, SAVS, VESP",General,MX,CHH,Janos Complex,No,Desert grassland,Desert grassland,NA,NA,NA,30.793397,-108.523049,47,34,SIERRA MADRE OCCIDENTAL,1999,1999,1,Winter,Jan-Apr,Nonbreeding Season,Nonbreeding Season,NA,NA,NA,"250,000",Cattle,Not specified (presumably suppressed),Not specified,"15,000",Not specified,Not specified,Occurrence,Transect,30 plots divided by land use/PD occupancy,Relative abundance,Not specified,Stepwise multiple regression,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,Not specified,Not specified,Not calculating,Not calculating,Yes,No,Not mentioned,"Main takeaways: 1) Private ranches with and without prairie dogs supported similar levels of diversity (but different compositions), while private ranches with prairie dogs supported more abundance; both had significantly higher abundance and diversity than ejidos. 2) Effects as follows: Avian diversity responded to +BTKR/grzng & + shrubs. Avian abundance responded to +BTPD & - shrubs. HOLA responded -BTKR/grzng & -grass height. CCLO responded -cattle & - shrubs. 3) CCLO use grazed/PD colony areas in winter, but are sensitive to grazing intensity. 4) Shrub encroachment increases local diversity, but decreases abundance of grassland specialists",Moderate,Supports,NA,NA,No
48,"Duchardt, CJ; Augustine, DJ; Beck, JL",1,BTPD,GRSG,General,USA,WY,Thunder Basin NG,No,"Shortgrass Prairie, Sagebrush Steppe, Mixed-grass Prairie",Shortgrass Prairie,Sagebrush Steppe,Mixed-grass Prairie,NA,43.936484,-104.814156,48,17,BADLANDS AND PRAIRIES,1999,2018,20,Spring,Feb-May,Breeding Season,Breeding Season,NA,NA,NA,"100,000",Cattle,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Occurrence,Point count,Lek surveys,Lek attendance,birds/lek,GAM ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,287,lek points,Not calculating,Not calculating,Yes,No,Not mentioned,"Long-term prairie dog disturbance affected BRSP abundance, but no other species. At the 500 m scale, there was a positive effect on GRSG lek attendance. Prairie dogs do not seem to have an important impact on sagebrush birds compared to veg characteristics or human disturbance",Strong,NA,Supports,NA,No
48,"Duchardt, CJ; Augustine, DJ; Beck, JL",2,BTPD,"BRSP, SATH",General,USA,WY,Thunder Basin NG,No,"Shortgrass Prairie, Sagebrush Steppe, Mixed-grass Prairie",Shortgrass Prairie,Sagebrush Steppe,Mixed-grass Prairie,NA,43.936484,-104.814156,48,17,BADLANDS AND PRAIRIES,2015,2017,3,Spring/Summer,May-June,Breeding Season,Breeding Season,NA,NA,NA,"100,000",Cattle,Not specified (presumably suppressed),268,Not specified,Not specified,Not specified,Occurrence,Transect,"Transects on PD colony, PD colony edge, and sagebrush",Relative density,birds/km^2,GAM ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,439,survey points,Not calculating,Not calculating,Yes,No,Not mentioned,"Long-term prairie dog disturbance affected BRSP abundance, but no other species. At the 500 m scale, there was a positive effect on GRSG lek attendance. Prairie dogs do not seem to have an important impact on sagebrush birds compared to veg characteristics or human disturbance",Strong,NA,Equivocal,NA,No
49,Duchardt et al (2019),1,BTPD,"MOPL, SATH, HOLA, GRSP, BRSP, LARB, WEME",General,USA,WY,Thunder Basin NG,No,"Shortgrass Prairie, Sagebrush Steppe, Mixed-grass Prairie",Shortgrass Prairie,Sagebrush Steppe,Mixed-grass Prairie,NA,43.936484,-104.814156,49,17,BADLANDS AND PRAIRIES,2015,2017,3,Spring/Summer,May-June,Breeding Season,Breeding Season,NA,NA,NA,"100,000",Cattle,Not specified (presumably suppressed),268,Not specified,Not specified,Not specified,Occurrence,Transect,"Transects on PD colony, PD colony edge, and sagebrush",Relative abundance ,birds/km^2,GAM ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,439,survey points,Not calculating,Not calculating,Yes,Yes,Not mentioned,"Mountain Plover and Horned Lark counts increase non-linearly from PD colony edges towards cores. Counts of other bird species decline, eitherly linearly (WEME, LARB), or extremely sharply (GRSP, BRSP). Goldilocks syndrom implications for management. Preference for mid-range of towns by MOPL is interesting",Strong,Supports,Supports,NA,No
50,Duchardt et al (2018),1,BTPD,"MOPL, HOLA, WEME, GRSP, VESP, LASP, LARB, SATH, BRSP, MODO, LOSH",General,USA,WY,Thunder Basin NG,No,"Shortgrass Prairie, Sagebrush Steppe, Mixed-grass Prairie",Shortgrass Prairie,Sagebrush Steppe,Mixed-grass Prairie,NA,43.936484,-104.814156,50,17,BADLANDS AND PRAIRIES,2016,2017,2,Spring/Summer,May-June,Breeding Season,Breeding Season,NA,NA,NA,"100,000",Cattle,Wildfire,Not specified,Not specified,6,4000,Occurrence,Transect,Transects on and off PD towns,NA,NA,NA,NA,NA,NA,Relative density,birds/km^2,PERMANOVA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,40,paired points,Not calculating,Not calculating,Yes,Yes,Not mentioned,"Prairie dog colonies supported the most distinct bird communities between burned areas and grassland. Although they had the lowest alpha diversity, they supported MOPL and the most abundant HOLA",Strong,Supports,Supports,NA,No
50,Duchardt et al (2018),2,BTPD,"MOPL, HOLA, WEME, GRSP, VESP, LASP, LARB, SATH, BRSP, MODO, LOSH",General,USA,WY,Thunder Basin NG,No,"Shortgrass Prairie, Sagebrush Steppe, Mixed-grass Prairie",Shortgrass Prairie,Sagebrush Steppe,Mixed-grass Prairie,NA,43.936484,-104.814156,50,17,BADLANDS AND PRAIRIES,2016,2017,2,Spring/Summer,May-June,Breeding Season,Breeding Season,NA,NA,NA,"100,000",Cattle,Wildfire,Not specified,Not specified,6,4000,Occurrence,Transect,Transects on and off PD towns,NA,NA,NA,NA,NA,NA,Relative density,NA,NMDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,40,paired points,Not calculating,Not calculating,Yes,Yes,Not mentioned,"Prairie dog colonies supported the most distinct bird communities between burned areas and grassland. Although they had the lowest alpha diversity, they supported MOPL and the most abundant HOLA",Strong,Supports,Supports,NA,No
51,Duchard et al (2021),1,BTPD,"MOPL, HOLA, WEME, LARB, BRSP",General,USA,WY,Thunder Basin NG,No,"Shortgrass Prairie, Sagebrush Steppe, Mixed-grass Prairie",Shortgrass Prairie,Sagebrush Steppe,Mixed-grass Prairie,NA,43.936484,-104.814156,51,17,BADLANDS AND PRAIRIES,2015,2017,3,Spring/Summer,May-July,Breeding Season,Breeding Season,NA,NA,NA,"100,000",Cattle,Not specified (presumably suppressed),Not specified,"16,000",20,4000,Occurrence,Transect,"Transects on PD colony, PD colony edge, and sagebrush",Relative abundance,birds/12.6 ha,SEM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,439,survey points,Not calculating,Not calculating,Yes,No,Not mentioned,Abundance of HOLA and MOPL increased with prairie dog distubrance. Prairie dogs had both direct and indirect effects on their abundance. Prairie dogs had indirect negative effects on the abundance of WEME and BRSP,Strong,Supports,Supports,NA,No
52,Geaumont et al (2018),1,BTPD,"AMGO, BAEA, BANS, BARS, BBMA, BLGR, BOBO, BRBL, BRTH, BHCO, CHSP, CCSP, CLSW, COGR, DICK, EAKI, FISP, GOEA, GRSP, GRCA, HOLA, KILL, LASP, MODO, RHWO, RWBL, RNEP, STGR, SPTO, TUVU, UPSA, VESP, WEKI, WEME, YEWA",General,USA,SD,Standing Rock,Yes,Mixed-grass Prairie,Mixed-grass Prairie,NA,NA,NA,45.724433,-100.537778,52,17,BADLANDS AND PRAIRIES,2012,2015,4,Spring/Summer,June-July,Breeding Season,Breeding Season,NA,NA,NA,575,Cattle,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Occurrence,Transect,Four pastures of different PD occupancy levels,NA,NA,NA,NA,NA,NA,Maximum abundance,Not specified,NMDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,Not specified,detections,Not calculating,Not calculating,Yes,No,Not mentioned,"1) Grasshopper Sparrows were negatively associated and Horned Larks were positively with PDs, while other grassland birds did not show a correlation. 2) ""Transitional"" grassland supported the highest density of grassland birds across several species. This area had originally had 75% occupancy and then 29% occupancy of PDs after recovering from a recent poisoning. 3) Prairie dog presence was more important than prairie dog occupancy. Ground cover and annual precipitation variability were the two most important axes in NMDS analyses of bird density.",Strong,NA,Supports,NA,No
52,Geaumont et al (2018),2,BTPD,"AMGO, BAEA, BANS, BARS, BBMA, BLGR, BOBO, BRBL, BRTH, BHCO, CHSP, CCSP, CLSW, COGR, DICK, EAKI, FISP, GOEA, GRSP, GRCA, HOLA, KILL, LASP, MODO, RHWO, RWBL, RNEP, STGR, SPTO, TUVU, UPSA, VESP, WEKI, WEME, YEWA",General,USA,SD,Standing Rock,Yes,Mixed-grass Prairie,Mixed-grass Prairie,NA,NA,NA,45.724433,-100.537778,52,17,BADLANDS AND PRAIRIES,2012,2015,4,Spring/Summer,June-July,Breeding Season,Breeding Season,NA,NA,NA,575,Cattle,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Occurrence,Transect,Four pastures of different PD occupancy levels,Relative density,birds/ha,GLM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,Not specified,detections,Not calculating,Not calculating,Yes,No,Not mentioned,"1) Grasshopper Sparrows were negatively associated and Horned Larks were positively with PDs, while other grassland birds did not show a correlation. 2) ""Transitional"" grassland supported the highest density of grassland birds across several species. This area had originally had 75% occupancy and then 29% occupancy of PDs after recovering from a recent poisoning. 3) Prairie dog presence was more important than prairie dog occupancy. Ground cover and annual precipitation variability were the two most important axes in NMDS analyses of bird density.",Strong,Supports,NA,NA,No
53,Goguen (2012),2,BTPD,"KILL, MOPL, LBCU, TUVU, RTHA, SWHA, FEHA, AMKE, PRFA, SCQU, MODO, BUOW, CONI, WEKI, SAPH, HOLA, VGSW, NRWS, CLSW, BARS, CHRA, LOSH, NOMO, CBTH, VESP, LASP, CASP, BRSP, LARB, WEME, BHCO, LEGO",General,USA,NM,Vermejo Park Ranch,No,Shortgrass Prairie,Shortgrass Prairie,NA,NA,NA,36.888592,-104.979034,53,16,SOUTHERN ROCKIES/COLORADO PLATEAU,2008,2010,3,Spring/Summer,May-June,Breeding Season,Breeding Season,NA,NA,NA,"16,190",Bison,Not specified (presumably suppressed),Not specified,"3,200",29,483,Occurrence,Transect,12 paired colony/non-colony transects,NA,NA,NA,Mean species richness,species,Two-way ANOVA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entered on sheet,18,species,Not calculating,Not calculating,Yes,No,Not mentioned,"1) Shortgrass prairie had significantly more individual birds and greater species richness ""at the transect level."" Difference between relative abundance and density as it intersects with detection notable, e.g., Horned Larks were more abundant on PD towns but more dense on grassland. 2) Still Mountain Plover, Burrowing Owl, and Ferruginous Hawk were positively associated with PD towns (American Badger too!). 3) Interestingly, Curve-billed Thrasher had a positive association with BTPD; the author hypothesizes a foraging benefit rather than a breeding habitat one. This is potentially plausible, but odd that no one else has reported it.",Moderate,Supports,Supports,Supports,No
53,Goguen (2012),1,BTPD,"KILL, MOPL, LBCU, TUVU, RTHA, SWHA, FEHA, AMKE, PRFA, SCQU, MODO, BUOW, CONI, WEKI, SAPH, HOLA, VGSW, NRWS, CLSW, BARS, CHRA, LOSH, NOMO, CBTH, VESP, LASP, CASP, BRSP, LARB, WEME, BHCO, LEGO",General,USA,NM,Vermejo Park Ranch,No,Shortgrass Prairie,Shortgrass Prairie,NA,NA,NA,36.888592,-104.979034,53,16,SOUTHERN ROCKIES/COLORADO PLATEAU,2008,2010,3,Spring/Summer,May-June,Breeding Season,Breeding Season,NA,NA,NA,"16,190",Bison,Not specified (presumably suppressed),Not specified,"3,200",29,483,Occurrence,Transect,12 paired colony/non-colony transects,Relative density,birds/km^2,DISTANCE abundance model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entered on sheet,4505,detections,Not calculating,Not calculating,Yes,No,Not mentioned,"1) Shortgrass prairie had significantly more individual birds and greater species richness ""at the transect level."" Difference between relative abundance and density as it intersects with detection notable, e.g., Horned Larks were more abundant on PD towns but more dense on grassland. 2) Still Mountain Plover, Burrowing Owl, and Ferruginous Hawk were positively associated with PD towns (American Badger too!). 3) Interestingly, Curve-billed Thrasher had a positive association with BTPD; the author hypothesizes a foraging benefit rather than a breeding habitat one. This is potentially plausible, but odd that no one else has reported it.",Moderate,Supports,Supports,Supports,No
55,Magle et al (2012),3,BTPD,"HOFI, EUST, AMRO, MODO, RWBL, ROPI, NOFL, AMGO, BBMA, COGR, HOSP, WEKI, KILL, VESP, BARS, AMKE, AMCR, SOSP, CANG, SAPH, WEME, DEJU, BLJA, TRSW, SPTO, BCCH, LEGO, RTHA, MALL, WCSP",General,USA,CO,Denver,No,"Shortgrass Prairie, Urban",Shortgrass Prairie,Urban,NA,NA,39.611015,-104.887342,55,18,SHORTGRASS PRAIRIE,2006,2007,2,Year-round,Apr-Feb,Year-round,Breeding Season,Nonbreeding Season,Prebreeding Migration,Postbreeding Migration,"37,400",No grazer,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Occurrence,Point count,"10 PD colony sites, 10 uncolonized sites, randomly selected",Total count,birds/count,Unpaired t-test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,"6,950",observations,Not calculating,Not calculating,Yes,No,Not mentioned,"Prairie dogs did not have an effect on species richness or total count across years or within seasons. Urbanization and fragmentation may have reduced prairie dog towns to the point that they cease to provide such benefits. However, the authors did not look at beta diversity.",Moderate,NA,NA,Does not support,No
55,Magle et al (2012),2,BTPD,"HOFI, EUST, AMRO, MODO, RWBL, ROPI, NOFL, AMGO, BBMA, COGR, HOSP, WEKI, KILL, VESP, BARS, AMKE, AMCR, SOSP, CANG, SAPH, WEME, DEJU, BLJA, TRSW, SPTO, BCCH, LEGO, RTHA, MALL, WCSP",General,USA,CO,Denver,No,"Shortgrass Prairie, Urban",Shortgrass Prairie,Urban,NA,NA,39.611015,-104.887342,55,18,SHORTGRASS PRAIRIE,2006,2007,2,Year-round,Apr-Feb,Year-round,Breeding Season,Nonbreeding Season,Prebreeding Migration,Postbreeding Migration,"37,400",No grazer,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Occurrence,Point count,"10 PD colony sites, 10 uncolonized sites, randomly selected",NA,NA,NA,Shannon Diversity Index,NA,Unpaired t-test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,"6,950",observations,Not calculating,Not calculating,Yes,No,Not mentioned,"Prairie dogs did not have an effect on species richness or total count across years or within seasons. Urbanization and fragmentation may have reduced prairie dog towns to the point that they cease to provide such benefits. However, the authors did not look at beta diversity.",Moderate,Does not support,NA,NA,No
55,Magle et al (2012),1,BTPD,"HOFI, EUST, AMRO, MODO, RWBL, ROPI, NOFL, AMGO, BBMA, COGR, HOSP, WEKI, KILL, VESP, BARS, AMKE, AMCR, SOSP, CANG, SAPH, WEME, DEJU, BLJA, TRSW, SPTO, BCCH, LEGO, RTHA, MALL, WCSP",General,USA,CO,Denver,No,"Shortgrass Prairie, Urban",Shortgrass Prairie,Urban,NA,NA,39.611015,-104.887342,55,18,SHORTGRASS PRAIRIE,2006,2007,2,Year-round,Apr-Feb,Year-round,Breeding Season,Nonbreeding Season,Prebreeding Migration,Postbreeding Migration,"37,400",No grazer,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Occurrence,Point count,"10 PD colony sites, 10 uncolonized sites, randomly selected",NA,NA,NA,Species richness,species/count,Unpaired t-test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,"6,950",observations,Not calculating,Not calculating,Yes,No,Not mentioned,"Prairie dogs did not have an effect on species richness or total count across years or within seasons. Urbanization and fragmentation may have reduced prairie dog towns to the point that they cease to provide such benefits. However, the authors did not look at beta diversity.",Moderate,Does not support,NA,NA,No
56,Manzano-Fischer et al (1999),1,BTPD,"NOHA, SWHA, FEHA, PRFA, MOPL, LBCU, BUOW, HOLA, GRSP, VESP, LASP, CASP, BRSP, LARB, GHOW, BAEA, GOEA",General,MX,CHH,Janos Complex,No,Desert grassland,Desert grassland,NA,NA,NA,30.793397,-108.523049,56,34,SIERRA MADRE OCCIDENTAL,1994,1995,2,Year-round,Jan-Dec,Year-round,Breeding Season,Nonbreeding Season,Prebreeding Migration,Postbreeding Migration,"250,000",Cattle,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Occurrence,Point count,Baseline survey of area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not calculating,Not calculating,Yes,No,Not mentioned,"The authors document the importance of this prairie dog complex for a diverse and robust grassland bird community. While only descriptive, they document important records of Mountain Plover, raptors, and passerines making extensive use of the PD complex.",Weak,Supports,NA,Supports,Yes
